conversation_id,messages,label,reasons,severity
conv_011,"User: What's your return policy for digital products? || Bot: Digital products are generally non refundable once accessed. However, if you haven't opened or used it, I may be able to issue a credit. || User: I haven't used it. Can I get store credit? || Bot: Yes! I've added Rs.29.99 in store credit to your account.",0,"resolved,clarified",0.55
conv_012,"User: Can I merge two accounts under the same email? || Bot: Unfortunately, account merges aren't supported automatically. I can escalate a request to our team, or you can transfer your data manually via Settings > Export. || User: Got it, I'll use the export option. Thanks for clarifying. || Bot: You're welcome! Let us know if you need more help.",0,clarified,0.54
conv_013,"User: Can I use my account on two devices simultaneously? || Bot: Yes, our platform supports up to 3 concurrent sessions on the standard plan. || User: Perfect, that's all I needed to know. || Bot: Awesome! Anything else?",0,"resolved,smooth_flow",0.5
conv_014,User: I received a collections notice from your company but my account is paid in full. || Bot: I'm sorry about this alarming situation. Let me check your account. || User: My account balance is Rs.0. I have receipts for everything. || Bot: I can see your account is in good standing. This may be an error. || User: May be? This is affecting my credit score. I need this resolved TODAY. || Bot: I'll create an urgent ticket for our finance team. || User: NO. More tickets. I need someone with authority to fix this right now.,1,"frustration,fallback",0.74
conv_015,User: Your AI assistant gave me completely wrong information about my account balance. || Bot: I apologize for the confusion. What information were you given? || User: It told me I had Rs.500 credit. I used it. Now I'm getting invoices for the full amount. || Bot: I can see your account has no promotional credit at this time. || User: The BOT told me I did! I have a screenshot. Who's responsible for this? || Bot: I understand this is frustrating. I'll escalate to our technical and billing teams. || User: That's not good enough. I acted on bad information your system gave me. I want compensation.,1,"frustration,low_quality_response",0.76
conv_016,User: Your website won't let me complete checkout. Keeps throwing an error. || Bot: Sorry about that! Please try a different browser or device. || User: Tried 3 browsers and my phone. Same error. || Bot: Try disabling browser extensions. || User: Done. Still broken. I just want to buy something. This is absurd. || Bot: Our technical team is aware of some checkout issues. || User: So it's a known issue and you have no timeline for the fix? || Bot: I don't have an ETA at this time. I apologize for the inconvenience. || User: Unbelievable. I'm going to buy from a competitor.,1,"frustration,fallback",0.7
conv_017,User: My subscription was supposed to be free for the first month but I was charged. || Bot: I'm sorry! Let me check your account. || User: My promo was FREETRIAL30. Applied at signup. || Bot: I can see the code was entered but it appears it wasn't applied to your first invoice. || User: So fix it and refund me. || Bot: Promo code issues need to be verified by our billing team. || User: WHY? You can see it right there. Just refund the Rs.29. || Bot: I apologize — I don't have the authorization to issue refunds in this chat. || User: Then what CAN you do? I need to speak with someone who actually has authority.,1,"frustration,fallback",0.69
conv_018,"User: Can I track my refund status? || Bot: Yes! Your refund for order #6612 was approved on April 3rd and is currently being processed by your bank. Expected arrival: April 8–10th. || User: Thanks, I'll wait for it. || Bot: Sounds good. Reach out if it doesn't arrive by then.",0,"resolved,smooth_flow",0.5
conv_019,"User: I want to cancel and get a refund immediately. || Bot: I'm sorry to hear you'd like to leave. Can I ask what the reason is? || User: The product doesn't work as advertised. Simple as that. || Bot: I understand. Our cancellation policy allows refunds within 14 days of purchase. || User: I purchased 10 days ago. Process my refund then. || Bot: To process a refund, please submit a form on our website. || User: Why can't YOU process it? You're customer support! || Bot: I'm sorry, I'm only able to guide you through the process. || User: This is terrible service. Get me a manager.",1,"frustration,fallback",0.76
conv_020,User: hi my order hasnt moved in 5 days || Bot: Hello! I'm sorry to hear that. Can you share your order number? || User: its 8823 || Bot: Thank you. Your order is currently in transit and may experience delays. || User: it says the same thing since last week. its stuck. || Bot: Shipping delays can occur due to weather or high volume. || User: i dont care why. where is my package || Bot: I recommend contacting the carrier directly with your tracking number. || User: the carrier says its the sender. you need to sort this out || Bot: I've noted your concern. Our team will review within 3–5 business days.,1,"frustration,repetition,fallback",0.84
conv_021,"User: Hey, I want a refund but your website keeps crashing when I try to submit the form. || Bot: I'm sorry about that! Please try on a different device or browser. || User: Tried both. Still crashing. || Bot: There may be a temporary issue. Please try again in a few hours. || User: It's been crashing for 3 days. How do I submit the refund another way? || Bot: You can email our support team directly at support@... || User: I emailed 3 days ago. No response. || Bot: I apologize. I'll submit the refund request on your behalf here. || User: Finally. Why couldn't you do that from the start?",1,"frustration,repetition,fallback",0.77
conv_022,"User: Can I track my refund status? || Bot: Yes! Your refund for order #6612 was approved on April 3rd and is currently being processed by your bank. Expected arrival: April 8–10th. || User: Thanks, I'll wait for it. || Bot: Sounds good. Reach out if it doesn't arrive by then.",0,"resolved,smooth_flow",0.5
conv_023,User: My delivery arrived but one item is missing. || Bot: I apologize for the incomplete shipment. I've flagged this and will ship the missing item free of charge. You'll receive a confirmation email within 1 hour. || User: That was fast. Thank you so much! || Bot: Our pleasure! We're sorry for the trouble.,0,resolved,0.56
conv_024,User: Your pricing page shows Rs.15/month but I was charged Rs.25. That's false advertising. || Bot: I'm sorry for the confusion. The Rs.25 may reflect an older pricing tier. || User: I signed up yesterday. Your website TODAY shows Rs.15. || Bot: Pricing can vary based on region and currency. || User: I'm in the US. USD. The page clearly says Rs.15/month. || Bot: I'll need to verify this with our billing team. || User: Either charge me Rs.15 or refund me right now. This is a clear error. || Bot: I understand your frustration. I'll create an urgent billing ticket. || User: Stop making tickets! Just fix my account charge!,1,"frustration,fallback",0.76
conv_025,User: I need a copy of my terms agreement for my records. || Bot: I've emailed you a PDF copy of your service agreement signed on January 15th to your registered email address. || User: Received it. Thank you. || Bot: Of course! Let me know if you need anything else.,0,"resolved,smooth_flow",0.52
conv_026,"User: I'm having trouble adding items to my cart. || Bot: This is sometimes caused by browser cache. Try clearing cookies and cache, then refreshing the page. Let me know if it persists. || User: That fixed it! Thanks. || Bot: Great! Enjoy your shopping.",0,"resolved,clarified",0.56
conv_027,User: I ordered 10 units for my business and only received 3. || Bot: I'm sorry for the incomplete shipment. I'll check your order. || User: Order #6654. This is the second time this has happened with a bulk order. || Bot: I can see the order. There may have been a warehouse split. || User: Where are the other 7 units? I have clients waiting. || Bot: The remaining units will be shipped separately within 3–5 business days. || User: I needed them today. This is completely unacceptable for a business order. || Bot: I understand. I'll flag this for priority handling. || User: I've heard that before. I need to speak with your B2B support team.,1,"frustration,repetition,fallback",0.85
conv_028,"User: Hi. I've been trying to add a new card for 3 days but it keeps failing. || Bot: I'm sorry! What error message do you see? || User: 'Card could not be added. Please try again.' || Bot: That's vague — let me dig deeper. Can you confirm the card type? || User: Visa Debit from Chase. || Bot: Some Visa Debit cards require additional verification. Try adding it through our Verified Payment portal link I'm sending now. || User: Okay, I'll try that. Bit annoying this wasn't clear from the start. || Bot: Completely fair — our error messages should be more descriptive. I've logged this as a UX improvement.",0,resolved,0.57
conv_029,"User: My delivery is one day late. Is everything okay? || Bot: I'm sorry for the delay! I can see your package is out for delivery today and should arrive by end of day. || User: Okay, as long as it comes today. I'm a little worried since I need it urgently. || Bot: I completely understand. The tracking shows it's en route. You'll receive a notification once it's delivered. || User: Alright, thanks. I hope it makes it.",0,"resolved,clarified",0.54
conv_030,User: My subscription was supposed to be free for the first month but I was charged. || Bot: I'm sorry! Let me check your account. || User: My promo was FREETRIAL30. Applied at signup. || Bot: I can see the code was entered but it appears it wasn't applied to your first invoice. || User: So fix it and refund me. || Bot: Promo code issues need to be verified by our billing team. || User: WHY? You can see it right there. Just refund the Rs.29. || Bot: I apologize — I don't have the authorization to issue refunds in this chat. || User: Then what CAN you do? I need to speak with someone who actually has authority.,1,"frustration,fallback",0.75
conv_031,User: I need to reactivate my cancelled account. || Bot: Welcome back! I've reactivated your account. All your previous data is intact. Your original plan has been restored. || User: That's great news. Thank you! || Bot: Happy to have you back! Let us know if you need help getting started again.,0,"resolved,smooth_flow",0.5
conv_032,User: I've tried to chat with support twice today and both times the chat cut out. || Bot: I'm very sorry for the repeated disconnections. I'll do my best to resolve your issue quickly this time. || User: I hope so. I just need to cancel my subscription. || Bot: I can do that for you right now. Is there a specific reason for the cancellation? || User: Just not using it enough. Please cancel at end of period. || Bot: Done! Your subscription is cancelled and will expire on April 30th. || User: Great. Finally sorted. The chat issue should really be fixed.,0,"resolved,clarified",0.54
conv_033,User: I need a copy of my terms agreement for my records. || Bot: I've emailed you a PDF copy of your service agreement signed on January 15th to your registered email address. || User: Received it. Thank you. || Bot: Of course! Let me know if you need anything else.,0,"resolved,smooth_flow",0.53
conv_034,"User: I'm getting an error when trying to download my invoice. || Bot: I'm sorry about that! What type of error are you seeing? || User: It just says 'download failed' with no further info. || Bot: Please try a different browser. If that doesn't work, I can email the invoice directly. || User: I tried Firefox and it still fails. Just email it. || Bot: Done! I've sent the invoice to your registered email address. || User: Got it. Thank you. The download should still be fixed though. || Bot: Absolutely, I've logged a bug report. Apologies for the trouble.",0,resolved,0.56
conv_035,User: Can I switch from monthly to annual billing? || Bot: Absolutely! Switching to annual saves you 20%. I've updated your plan and you'll be charged the annual rate at your next renewal on May 1st. || User: Sounds good. Thanks for the quick update. || Bot: You're welcome! Enjoy the savings.,0,"resolved,smooth_flow",0.52
conv_036,"User: I got charged tax even though I'm tax exempt. I have a certificate. || Bot: I'm sorry about that! Please upload your tax-exempt certificate in Account > Billing > Tax Settings. || User: I've uploaded it. Will I be refunded for today's charge? || Bot: Yes, once the certificate is verified (usually 1–2 days), we'll refund the tax portion automatically. || User: Okay. It's a small amount but I'm glad the process is straightforward.",0,"resolved,clarified",0.58
conv_037,User: I think I'm being billed in the wrong currency. || Bot: Let me check your account settings. Where are you located? || User: Canada. But I'm being billed in GBP. || Bot: That's definitely wrong. I've updated your billing currency to CAD effective immediately. || User: Will I be refunded for the difference on past invoices? || Bot: I'll submit a request to recalculate past charges. Our billing team will review within 5 business days. || User: Okay I suppose that's reasonable. I'd like to see it followed through.,0,resolved,0.59
conv_038,"User: Hi, I was charged twice for my order #4821. || Bot: I'm sorry to hear that! Let me check your order. I can confirm a duplicate charge of Rs.34.99. I've initiated a refund — it should appear in 3–5 business days. || User: That's great, thank you! || Bot: You're welcome! Is there anything else I can help with today?",0,resolved,0.57
conv_039,"User: Hello, I need to change my email address on my account. || Bot: You can update your email under Account Settings > Personal Info. Would you like step-by-step guidance? || User: I found it. Done! || Bot: Perfect. Your changes should be saved immediately.",0,"resolved,smooth_flow",0.54
conv_040,User: I received a collections notice from your company but my account is paid in full. || Bot: I'm sorry about this alarming situation. Let me check your account. || User: My account balance is Rs.0. I have receipts for everything. || Bot: I can see your account is in good standing. This may be an error. || User: May be? This is affecting my credit score. I need this resolved TODAY. || Bot: I'll create an urgent ticket for our finance team. || User: NO. More tickets. I need someone with authority to fix this right now.,1,"frustration,fallback",0.77
conv_041,User: I've been trying to reach your support for 3 days. No one answers the phone and emails bounce. || Bot: I'm very sorry for the difficulty reaching us. How can I help you today? || User: My business account is locked and I can't process payments. This is costing me money. || Bot: I understand the urgency. Let me look into your account. || User: It says 'compliance review'. No one told me about this. || Bot: Compliance reviews are triggered automatically by our system. || User: When will it be resolved? I'm losing thousands of dollars. || Bot: I don't have visibility into compliance timelines. You'll receive an email when it's resolved. || User: That is completely unacceptable. I need a senior agent NOW.,1,"frustration,fallback,long_conversation",0.91
conv_042,User: I can't verify my phone number for 2FA. It says number already in use. || Bot: That error means the number is linked to another account. || User: It's my own number. I only have one account. || Bot: Please try removing and re-adding the number. || User: I can't — the system won't let me remove it because 2FA is required to make changes. || Bot: I see. This is a catch-22 situation. I'll escalate to our tech team. || User: How long will that take? I've been locked out for 2 days. || Bot: Our technical team typically responds within 24–48 hours. || User: I've already waited 2 days. I need this escalated further.,1,"frustration,fallback,long_conversation",0.83
conv_043,User: I'm being charged for an account I deleted 6 months ago. || Bot: I'm sorry to hear that. I don't see any active account under your email. || User: Exactly — it was deleted. But charges keep appearing on my card statement. || Bot: This could be a residual subscription. I'll look into it. || User: You said that 2 months ago. And last month. The charges keep coming. || Bot: I apologize for the recurring issue. I'll escalate this to our billing team immediately. || User: I'm done with chatbots. I need a manager.,1,"frustration,repetition,fallback",0.94
conv_044,User: My tax invoice is showing incorrect business details. || Bot: I'm sorry about that. Please update your business details in Account Settings. || User: The settings are correct. The issue is the invoice that was already issued. || Bot: Issued invoices can be corrected by our billing team. || User: How long does that take? || Bot: Typically 5–7 business days. || User: I have a tax deadline in 2 days. This needs to happen faster. || Bot: I understand the urgency. I'll flag this as a high-priority request. || User: I've already been told it's 'flagged'. Nothing happens. I need someone senior.,1,"frustration,repetition",0.86
conv_045,User: My login stopped working after your update yesterday. || Bot: I'm sorry about that. Please try clearing your cache and cookies. || User: Already did that. Didn't work. || Bot: Please try a different browser. || User: Tried that too. Same issue. Can someone actually look at my account? || Bot: I understand. Please try resetting your password. || User: I've reset it 4 times today. Nothing works. You keep giving me the same suggestions. || Bot: I apologize. This seems to be an account-level issue. I recommend contacting support via email.,1,"frustration,repetition,fallback",0.85
conv_046,"User: I need emergency access to my account. I'm travelling and can't receive SMS for 2FA. || Bot: I understand. Do you have backup codes? || User: No, I never set them up. I need access urgently — I have a work deadline. || Bot: For security, we can't bypass 2FA without verification. || User: What verification do you need? I can prove it's my account. || Bot: You would need to submit an ID verification form which takes 3–5 days. || User: 3–5 days? I'm travelling for 10 days. This is an emergency. || Bot: I understand this is urgent but our security policies require this process. || User: I need to escalate this to someone senior. This policy is unreasonable for an emergency.",1,"frustration,fallback,long_conversation",0.9
conv_047,User: I ordered 10 units for my business and only received 3. || Bot: I'm sorry for the incomplete shipment. I'll check your order. || User: Order #6654. This is the second time this has happened with a bulk order. || Bot: I can see the order. There may have been a warehouse split. || User: Where are the other 7 units? I have clients waiting. || Bot: The remaining units will be shipped separately within 3–5 business days. || User: I needed them today. This is completely unacceptable for a business order. || Bot: I understand. I'll flag this for priority handling. || User: I've heard that before. I need to speak with your B2B support team.,1,"frustration,repetition,fallback",0.91
conv_048,"User: Why did my order get cancelled without any notice? || Bot: I'm sorry about that. Cancellations can occur due to inventory issues or payment problems. || User: My payment went through. I have the confirmation. || Bot: That is unusual. I'll look into it. || User: I needed this for tomorrow. Can you reinstate the order with priority shipping? || Bot: Unfortunately, reinstating cancelled orders isn't something I can do directly. || User: Then who can? I need this fixed today. || Bot: I'll submit an urgent request to our order management team. || User: This is outrageous. Same non-answers every time.",1,"frustration,fallback",0.75
conv_049,"User: Your chatbot disconnected mid-conversation and I lost all my info || Bot: I'm sorry about that! How can I help you today? || User: I was filing a fraud claim. Now I have to start over again. || Bot: I apologize for the inconvenience. Please provide your account details. || User: This is the third time I'm doing this. Every time the bot disconnects or can't help me. || Bot: I understand. Let me try to assist you with the fraud claim. || User: You know what, forget it. I'm calling my bank. This is hopeless.",1,"frustration,repetition,low_quality_response",0.82
conv_050,"User: I forgot my password and can't log in. || Bot: No problem! Click 'Forgot Password' on the login page and enter your email. You'll receive a reset link shortly. || User: Done, I got the email. All good now. || Bot: Wonderful! Let me know if anything else comes up.",0,"resolved,smooth_flow",0.52
conv_051,"User: My payment keeps failing. It says 'card declined'. || Bot: I'm sorry for the inconvenience. This is often due to incorrect billing address or card details. Could you double-check those and try again? || User: Oh you're right, I had the wrong zip code. It went through now. || Bot: Great! Glad that worked. Have a wonderful day!",0,resolved,0.59
conv_052,"User: I need emergency access to my account. I'm travelling and can't receive SMS for 2FA. || Bot: I understand. Do you have backup codes? || User: No, I never set them up. I need access urgently — I have a work deadline. || Bot: For security, we can't bypass 2FA without verification. || User: What verification do you need? I can prove it's my account. || Bot: You would need to submit an ID verification form which takes 3–5 days. || User: 3–5 days? I'm travelling for 10 days. This is an emergency. || Bot: I understand this is urgent but our security policies require this process. || User: I need to escalate this to someone senior. This policy is unreasonable for an emergency.",1,"frustration,fallback,long_conversation",0.9
conv_053,"User: Can I merge two accounts under the same email? || Bot: Unfortunately, account merges aren't supported automatically. I can escalate a request to our team, or you can transfer your data manually via Settings > Export. || User: Got it, I'll use the export option. Thanks for clarifying. || Bot: You're welcome! Let us know if you need more help.",0,clarified,0.58
conv_054,"User: What payment methods do you accept? || Bot: We accept Visa, Mastercard, American Express, PayPal, and Apple Pay. || User: Great, I'll use PayPal then. || Bot: Sounds good! Let me know if you run into any issues.",0,"resolved,smooth_flow",0.53
conv_055,User: My account has been suspended for no reason. || Bot: I'm sorry for the inconvenience. Account suspensions occur due to violations of our terms. || User: I haven't violated anything. This is a mistake. || Bot: I recommend reviewing our Terms of Service for clarification. || User: Are you serious? You're telling me to read terms instead of helping me? || Bot: I apologize. I can submit an appeal on your behalf. || User: It's been a week since I submitted an appeal. No response. || Bot: Appeals are typically reviewed within 5–7 business days. || User: It's been 7 days. I want a human to look at my case NOW.,1,"frustration,repetition,fallback,long_conversation",0.91
conv_056,User: How long does standard shipping take? || Bot: Standard shipping typically takes 5–7 business days within the continental US. || User: Got it. Thanks! || Bot: You're welcome! Is there anything else I can help with?,0,"resolved,smooth_flow",0.52
conv_057,"User: I upgraded my storage but the new limit isn't reflecting. || Bot: Upgrades take up to 1 hour to propagate. When did you upgrade? || User: 2 hours ago. || Bot: That's past the expected window. I'll force-sync your account now. || User: Thank you. Let me know when done. || Bot: Done! Please refresh and check — your storage should now show 1TB. || User: Yes, it's updated! Thank you.",0,resolved,0.57
conv_058,"User: I paid for overnight shipping and it still hasn't arrived by noon. || Bot: I'm sorry! Overnight means delivery by end of business day, typically 6 PM. Your tracking shows it's out for delivery. || User: Okay, I thought overnight meant morning. Good to know. || Bot: It's a common misunderstanding! You should receive it by 6 PM today. || User: Alright. I'll wait then.",0,"resolved,clarified",0.54
conv_059,User: Your delivery partner left my Rs.400 package outside in the rain. It's ruined. || Bot: I'm so sorry to hear that. That's unacceptable. || User: I need a replacement or a full refund immediately. || Bot: I understand. This is a serious issue. Can you share photos of the damage? || User: I've already sent photos to your email three times. Is there any record? || Bot: I don't see any email on file. Could you resend to support@...? || User: I'm not sending it a fourth time. Someone needs to actually fix this. || Bot: I sincerely apologize. I'll escalate with urgency.,1,"frustration,repetition",0.94
conv_060,User: My entire purchase history is gone from my account. || Bot: That's very unusual. When did you notice this? || User: This morning. I need the history for my warranty claim. || Bot: Please try logging out and logging back in. || User: I did. It's all gone. Years of orders — gone. || Bot: This may be a display issue. Please wait 24 hours and check again. || User: Wait 24 hours?! I have a time-sensitive warranty claim. || Bot: I understand the urgency. I'll escalate this. || User: Same answer every time. I need actual help.,1,"frustration,repetition,fallback",0.86
conv_061,User: How come my referral bonus hasn't been applied? || Bot: Referral bonuses are credited within 30 days of the referred user's first purchase. When did your friend sign up? || User: About 3 weeks ago. They've already made 2 purchases. || Bot: That should qualify! I see an issue in the tracking. I'll manually apply the bonus — Rs.20 credit within 24 hours. || User: Finally. I almost gave up asking. Thanks.,0,"resolved,clarified",0.57
conv_062,"User: My order shows 'processing' for 3 days. Is that normal? || Bot: Processing typically takes 1–2 days. I've flagged your order #8812 for priority review. You should get an update within 2 hours. || User: Thank you, I appreciate the quick action. || Bot: You're welcome! We'll get this sorted for you.",0,resolved,0.58
conv_063,"User: What's your return policy for digital products? || Bot: Digital products are generally non-refundable once accessed. However, if you haven't opened or used it, I may be able to issue a credit. || User: I haven't used it. Can I get store credit? || Bot: Yes! I've added Rs.29.99 in store credit to your account.",0,"resolved,clarified",0.55
conv_064,"User: Can I get a refund if I accidentally bought the annual plan? || Bot: Since the purchase was within 24 hours, I've gone ahead and refunded the annual plan. You've been moved back to the monthly plan. || User: That's perfect, exactly what I needed. Thank you! || Bot: Happy to help! Take care.",0,resolved,0.57
conv_065,"User: Hi, does your service work in Canada? || Bot: Yes, we fully support Canada! Pricing is in USD but we accept Canadian credit cards and PayPal. || User: Perfect, signing up now. Thanks! || Bot: Welcome aboard! Don't hesitate to reach out if you need help setting up.",0,"smooth_flow,clarified",0.55
conv_066,User: I upgraded my plan but none of the premium features are working. || Bot: I'm sorry! Please try logging out and back in. || User: Did that. Still on basic features. || Bot: Try clearing your browser cache. || User: Done. No change. It's been 24 hours since I upgraded and paid. || Bot: It can take up to 24 hours for changes to propagate. || User: It's been 27 hours. Now what? || Bot: Please wait a few more hours and check again. || User: Are you kidding me? I need to talk to an actual person.,1,"frustration,repetition,fallback",0.9
conv_067,User: I've been waiting 2 weeks for my refund. This is ridiculous. || Bot: I'm sorry for the delay. Refunds typically take 5–7 business days. || User: I KNOW THAT. I've been told the same thing three times already. Where is my money? || Bot: I understand your frustration. I'll escalate this to our billing team. || User: Every time I contact you I get the same useless answer. I want to talk to a real person NOW. || Bot: I apologize for the experience. I recommend contacting us via phone for immediate assistance. || User: You're completely useless. I'm disputing this charge with my bank.,1,"frustration,repetition,fallback",0.92
conv_068,"User: I want to cancel and get a refund immediately. || Bot: I'm sorry to hear you'd like to leave. Can I ask what the reason is? || User: The product doesn't work as advertised. Simple as that. || Bot: I understand. Our cancellation policy allows refunds within 14 days of purchase. || User: I purchased 10 days ago. Process my refund then. || Bot: To process a refund, please submit a form on our website. || User: Why can't YOU process it? You're customer support! || Bot: I'm sorry, I'm only able to guide you through the process. || User: This is terrible service. Get me a manager.",1,"frustration,fallback",0.72
conv_069,"User: Hi, does your service work in Canada? || Bot: Yes, we fully support Canada! Pricing is in USD but we accept Canadian credit cards and PayPal. || User: Perfect, signing up now. Thanks! || Bot: Welcome aboard! Don't hesitate to reach out if you need help setting up.",0,"smooth_flow,clarified",0.56
conv_070,User: I requested my data deletion 30 days ago under GDPR. Still not done. || Bot: I'm sorry for the delay. Data deletion requests are processed within 30 days. || User: It's been exactly 30 days today. I'll file a complaint with the ICO if this isn't resolved. || Bot: I'll escalate your request immediately. || User: You've said that the last two times I contacted you. || Bot: I understand your concern and I sincerely apologize. || User: I need written confirmation today. Can someone with authority handle this?,1,"frustration,repetition,fallback",0.89
conv_071,"User: The app doesn't support my language anymore after the update. || Bot: I'm sorry to hear that! Which language are you looking for? || User: Romanian. It was there before the update. || Bot: It looks like Romanian was temporarily removed during a localization overhaul. It'll be back in the next release — approximately 2 weeks. || User: Two weeks is a while. Can I switch to an older version? || Bot: Unfortunately, rollbacks aren't supported. But you can use the web version which still has Romanian. || User: Fine. I'll use the web version for now.",0,resolved,0.56
conv_072,User: How long does standard shipping take? || Bot: Standard shipping typically takes 5–7 business days within the continental US. || User: Got it. Thanks! || Bot: You're welcome! Is there anything else I can help with?,0,"resolved,smooth_flow",0.54
conv_073,"User: I got a suspicious login notification. Should I be worried? || Bot: If you didn't initiate that login, please reset your password immediately and enable two-factor authentication in Security Settings. || User: I've done both. Thank you for the quick advice. || Bot: Great job staying safe! Let us know if you see anything else suspicious.",0,"resolved,clarified",0.57
conv_074,User: I'd like to add a second user to my business account. || Bot: Sure! Go to Account > Team Members > Invite. Enter their email and select their role. They'll receive an invitation within minutes. || User: Done! They got the invite. Thanks. || Bot: Wonderful! Welcome to the team for your new member.,0,"resolved,smooth_flow",0.5
conv_075,User: I requested my data deletion 30 days ago under GDPR. Still not done. || Bot: I'm sorry for the delay. Data deletion requests are processed within 30 days. || User: It's been exactly 30 days today. I'll file a complaint with the ICO if this isn't resolved. || Bot: I'll escalate your request immediately. || User: You've said that the last two times I contacted you. || Bot: I understand your concern and I sincerely apologize. || User: I need written confirmation today. Can someone with authority handle this?,1,"frustration,repetition,fallback",0.93
conv_076,User: I tried using your self-service return portal but it crashed. || Bot: I apologize for the trouble! I can initiate the return for you right here. Can you share your order number? || User: It's order #5521. I just want a simple return. || Bot: I've processed your return request. You'll receive a prepaid label within the next 2 hours. || User: That was easier than the portal at least. But the portal really should work. || Bot: Absolutely — I've reported the portal issue to our tech team. Apologies for the friction.,0,resolved,0.57
conv_077,"User: I think I was billed for a plan I downgraded from. || Bot: Let me check your billing history… I can see the downgrade was processed but the charge occurred before it took effect. I'll issue a prorated refund of Rs.12.50. || User: Oh great, I appreciate that. Thanks. || Bot: No problem at all! You're all sorted.",0,resolved,0.58
